DATA,GIORNO,PILLAR,CONTENT_TYPE,TOPIC,AUDIENCE,BEST_TIME,HASHTAGS
07-13,Lunedì,PRODUCT,Carousel,Abiti da cerimonia estivi,30-45F,18:00,#SILKinCOM #abiti #cerimonia #moda #weddingguest #estate2026 #ootd #eleganza #dressup #shoppingonline #italianstyle #outfitinspo #instafashion #abitoestivo
07-14,Martedì,LIFESTYLE,Stories,Q&A: domande sul tuo stile,18-30F,19:00,#SILKinCOM #qanda #moda #community #askme #estate2026 #fashionlovers #styleinspo #engagement #instafashion #stylecommunity #lookoftheday
07-15,Mercoledì,PRODUCT,Reel,Denim summer: shorts & co.,20-30F,20:00,#SILKinCOM #denim #shorts #moda #summerfashion #estate2026 #ootd #denimstyle #outfitinspo #summerstyle #shoppingonline #fashionreels #italianstyle #trendy
07-16,Giovedì,EDUCATION,Carousel,Come scegliere la taglia giusta,25-45F,13:00,#SILKinCOM #sizeguide #fashiontips #moda #estate2026 #howtoshop #consiglidistile #fitguide #shoppingonline #outfitideas #fashioneducation #styleguide #lookoftheday
07-17,Venerdì,PROMO,Post,Spedizione gratis questo weekend,All,18:30,#SILKinCOM #freeshipping #spedizionegratis #promo #moda #estate2026 #shoppingonline #offerta #fashiondeals #weekend #limitedtime #fomo #onlineshopping
07-18,Sabato,PRODUCT,Reel,Look total white per l'estate,25-40F,10:00,#SILKinCOM #totalwhite #moda #summerfashion #estate2026 #ootd #whiteoutfit #outfitinspo #summerstyle #fashionreels #italianstyle #shoppingonline #styleinspo #trendy
07-19,Domenica,EDUCATION,Carousel,Tendenze estate 2026 da conoscere,20-35F,17:00,#SILKinCOM #trends #tendenze2026 #moda #fashiontrends #estate2026 #styleguide #howtostyle #outfitideas #summerstyle #fashioneducation #lookoftheday #consiglidistile
07-20,Lunedì,PRODUCT,Reel,Accessori must-have: borse & cappelli,25-40F,19:00,#SILKinCOM #accessori #borse #cappelli #moda #estate2026 #ootd #musthave #outfitinspo #summerstyle #shoppingonline #fashionreels #italianstyle #accessories
07-21,Martedì,EDUCATION,Carousel,Come prenderti cura dei capi in lino,30-45F,13:00,#SILKinCOM #lino #linen #fashioncare #moda #estate2026 #curadeitessuti #fashiontips #sustainablefashion #consiglidistile #howto #fashioneducation #styleguide #lookoftheday
07-22,Mercoledì,LIFESTYLE,Stories,Una giornata in città: outfit reale,25-45F,12:00,#SILKinCOM #cityoutfit #ootd #moda #dailylook #estate2026 #urbanstyle #realoutfit #outfitinspo #italianstyle #instafashion #lookoftheday #cittastyle
07-23,Giovedì,PRODUCT,Reel,Saldi preview: anteprima nuova collezione,20-35F,20:00,#SILKinCOM #preview #anteprima #moda #newcollection #estate2026 #ootd #comingsoon #shoppingonline #outfitinspo #styleinspo #fashionreels #italianstyle #trendy
07-24,Venerdì,PRODUCT,Post,Prodotto della settimana: l'abito midi,30-45F,18:00,#SILKinCOM #abitomidi #mididress #moda #prodottodellasettimana #estate2026 #ootd #dressoftheweek #shoppingonline #outfitinspo #italianstyle #instafashion #eleganza
07-25,Sabato,EDUCATION,Carousel,Outfit per ogni occasione d'estate,25-40F,17:00,#SILKinCOM #outfitideas #moda #fashiontips #estate2026 #howtostyle #occasionwear #stylingtips #summerstyle #lookoftheday #consiglidistile #fashioneducation #styleguide
07-26,Domenica,LIFESTYLE,Stories,Weekend mood: ispirazioni di stile,All,10:00,#SILKinCOM #weekendmood #moda #styleinspo #estate2026 #ootd #sundayvibes #outfitinspo #fashionlovers #instafashion #italianstyle #lookoftheday
